iter	Passed	Remaining
419	3189	607
420	3195	599
421	3202	592
422	3209	584
423	3216	576
424	3223	568
425	3229	560
426	3235	553
427	3242	545
428	3249	537
429	3255	530
430	3262	522
431	3269	514
432	3275	506
433	3282	499
434	3289	491
435	3296	483
436	3303	476
437	3309	468
438	3316	460
439	3322	453
440	3328	445
441	3335	437
442	3342	430
443	3348	422
444	3355	414
445	3361	407
446	3368	399
447	3380	392
448	3387	384
449	3393	377
450	3400	369
451	3407	361
452	3414	354
453	3421	346
454	3427	339
455	3434	331
456	3441	323
457	3448	316
458	3454	308
459	3460	300
460	3467	293
461	3474	285
462	3481	278
463	3487	270
464	3494	263
465	3501	255
466	3507	247
467	3514	240
468	3521	232
469	3528	225
470	3535	217
471	3542	210
472	3549	202
473	3555	195
474	3562	187
475	3568	179
476	3574	172
477	3581	164
478	3588	157
479	3595	149
480	3602	142
481	3608	134
482	3615	127
483	3626	119
484	3632	112
485	3639	104
486	3646	97
487	3653	89
488	3660	82
489	3666	74
490	3673	67
491	3680	59
492	3686	52
493	3693	44
494	3699	37
495	3706	29
496	3713	22
497	3719	14
498	3725	7
499	3732	0
